wavelength,ad,ag,aph
440,0.129584,0.632071,0.257243
440,0.137236,0.525985,0.207168
440,0.096449,0.374592,0.198745
440,0.141503,0.629719,0.211955
440,0.163527,0.536662,0.216409
440,0.046302,0.54354,0.200846
440,0.12357,0.902182,0.281645
440,0.240356,1.038424,0.293027
440,0.228703,0.326516,0.242813
440,0.070167,0.413703,0.217313
440,0.646738,1.129293,0.830519
440,0.703336,0.490034,0.705859
440,0.383539,1.153339,0.965273
440,0.788715,0.377494,0.68624
440,1.548887,0.702966,1.179766
440,0.331925,0.666101,0.625515
440,0.482824,0.799549,1.300394
440,0.652353,0.397393,1.144806
440,1.391831,0.489331,1.274067
440,1.237238,0.579501,1.3675
440,0.800137,0.54571,0.810654
440,0.108338,0.562951,0.728178
440,0.73547,1.11935,1.406413
440,0.339707,0.468586,1.097546
440,0.429257,0.930485,0.550332
440,0.425485,0.413127,0.576191
440,0.521904,0.779793,0.763623
440,0.133409,0.944549,0.298089
440,0.387048,1.057265,0.380338
440,0.172561,0.274314,0.320009
440,0.768948,0.409947,0.830519
440,0.143632,1.112183,0.705859
440,0.863644,0.520604,0.965273
440,0.459384,0.899017,0.68624
440,1.029285,0.675928,1.179766
440,0.282376,0.833181,0.625515
440,1.248899,0.967841,1.300394
440,0.411789,1.014715,1.144806
440,0.92373,0.646505,1.274067
440,0.350195,0.352518,1.3675
440,0.687776,0.786287,0.810654
440,0.854961,0.192799,0.728178
440,0.965956,0.503923,1.406413
440,0.838072,0.910307,1.097546
440,0.351964,1.172839,0.550332
440,0.226062,0.718466,0.576191
440,0.659483,0.280977,0.763623
440,0.196277,1.090599,0.298089
440,0.136106,0.383492,0.380338
440,0.159539,0.926201,0.320009
440,0.818237,0.447372,0.830519
440,0.594523,0.799647,0.705859
440,0.548216,0.409979,0.965273
440,0.588747,0.407691,0.68624
440,0.150374,0.874142,1.179766
440,0.617284,1.227858,0.625515
440,0.653206,1.31301,1.300394
440,0.458167,0.467595,1.144806
440,0.522166,0.590589,1.274067
440,1.008798,0.70216,1.3675
440,0.187514,1.541578,0.810654
440,0.406113,0.565522,0.728178
440,0.806092,0.728189,1.406413
440,0.5022,0.459487,1.097546
440,0.304857,0.854802,0.550332
440,0.429178,0.795756,0.576191
440,0.33957,1.311638,0.763623
440,0.10008,0.808785,0.298089
440,0.111578,0.831672,0.380338
440,0.168761,0.648032,0.320009
440,14.12682,9.703778,33.62622
440,2.290076,5.653369,9.999884
440,13.15287,7.784993,19.99429
440,6.685106,4.822723,20.0974
440,5.009565,4.669063,14.91005
440,16.02937,2.385961,13.98859
440,3.59785,3.438352,6.422745
440,22.35624,4.122291,20.92987
440,4.637173,2.036943,5.392238
440,23.27652,5.249679,26.12361
440,20.21188,12.76763,21.50871
440,19.92286,11.775387,21.50871
440,10.55899,7.375183,14.91321
440,6.249884,5.482318,11.98554
440,43.0043,18.635554,39.04544
440,13.18244,11.177773,19.32682
440,3.833782,1.796143,8.270933
440,1.968041,7.035951,12.50944
440,4.417989,2.826471,8.270933
440,10.89737,1.96618,9.092918
440,34.16696,4.604554,33.62622
440,8.657228,5.086481,9.999884
440,11.72332,6.13119,19.99429
440,21.68676,10.104845,20.0974
440,4.950823,7.527307,14.91005
440,8.010243,3.347749,13.98859
440,6.614306,0.949718,6.422745
440,27.68894,11.993564,20.92987
440,2.679821,1.800858,5.392238
440,32.37373,7.929575,26.12361
440,8.829231,3.468873,21.50871
440,16.11175,10.085781,21.50871
440,10.20593,3.253623,14.91321
440,11.47415,1.536863,11.98554
440,11.62569,4.305544,39.04544
440,17.49442,2.666201,19.32682
440,1.882335,1.956569,8.270933
440,7.753272,6.30243,12.50944
440,8.310284,4.35441,8.270933
440,3.215157,1.710765,9.092918
440,10.11744,14.524523,33.62622
440,6.721751,5.327964,9.999884
440,7.517899,9.126139,19.99429
440,12.95307,5.738594,20.0974
440,9.397524,8.771838,14.91005
440,12.47332,1.578458,13.98859
440,5.434662,1.597375,6.422745
440,15.04995,2.534342,20.92987
440,1.228355,1.51704,5.392238
440,36.30714,14.747991,26.12361
440,22.09209,12.769058,21.50871
440,16.46281,4.925423,21.50871
440,2.444356,8.260235,14.91321
440,9.519226,4.77665,11.98554
440,41.14495,22.514921,39.04544
440,14.24693,4.445772,19.32682
440,3.758174,3.045563,8.270933
440,7.123125,3.959909,12.50944
440,4.699194,2.976007,8.270933
440,6.231624,4.191251,9.092918
440
